X,Y,OBJECTID,NAME,ADDRESS,PHONE,WARD,XCOORD,YCOORD,MATCHTYPE,MAR_ID,LATITUDE,LONGITUDE
-77.023639670634168,38.933666549951297,1,Bernice Fonteneau Wellness Center,"3531 Georgia Ave, NW",(202) 727-0338,1,397950.57,140641.97,Exact,228763,38.93365909,-77.02363738
-77.032746252627646,38.927064864807612,2,Columbia Heights,"2900 14th Street, NW",(202) 939-9034,1,397160.74,139909.37,Exact,234356,38.92705741,-77.03274396
-77.044455433639882,38.923068509701331,3,Vida Senior Center,"1842 Calvert Street, NW",(202) 483-1508,1,396145.21,139466.17,Exact,235322,38.92306105,-77.04445314
-77.025827460499329,38.921496123502713,4,Garfield Terrace,"2301 11th Street, NW",(202) 939-9038,1,397760.5,139291,Exact,284334,38.92148867,-77.02582517
-77.043237781867546,38.92840072027419,5,Harvard Towers,"1845 Harvard Street, NW",(202) 939-9005,1,396251.08,140058.04,Exact,236261,38.92839326,-77.04323548
-77.038721955090267,38.924489180764759,6,Sarah’s Circle,"2551 17th Street, NW",(202) 332-1400,1,396642.46,139623.65,Exact,235865,38.92448172,-77.03871966
-77.034174119475196,38.917479959256255,7,Paul Lawrence Dunbar,"2001 15th Street, NW",(202) 939-9035,1,397036.53,138845.41,Exact,239975,38.9174725,-77.03417182
-77.018577101831156,38.899167348756357,8,Asian/Pacific Islander Senior Services Center,"417 G Place, NW",(202) 842-4376,2,398388.73,136812.17,Exact,303718,38.8991599,-77.01857481
-77.027333940926823,38.902198382231255,9,Asbury Methodist Church/Downtown Cluster’s Day Care,"926 11th Street, NW",(202) 347-7527,2,397629.22,137148.83,Exact,301937,38.90219093,-77.02733165
-77.028819836855618,38.905860551676959,10,Claridge Towers,"1221 M Street, NW",(202) 682-9395,2,397500.46,137555.4,Exact,278959,38.9058531,-77.02881754
-77.033093221586469,38.907481434675461,11,James Apartment Building,"1425 N Street, NW",(202) 673-4460,2,0,0,Corrected,,,
-77.05115000325813,38.898870620935028,12,St. Mary's Court,"725 24th Street, NW",(202) 223-5712,2,395563.18,136780.31,Exact,242350,38.89886317,-77.0511477
-77.031606219194984,38.906944256299461,13,Family Matters Oasis Senior Center for the Homeless,"1226 Vermont Avenue, NW",(202) 265-2017,2,397258.82,137675.78,Exact,240613,38.9069368,-77.03160393
-77.057529185918469,38.936800121080772,14,Adas Israel,"2850 Quebec Street, NW",(202) 363-7530,3,395012.47,140991.13,Exact,219289,38.93679266,-77.05752688
-77.072420178216092,38.929479168818695,15,St. Albans Episcopal Church,"3001 Wisconsin Avenue, NW",(202) 363-8286 Ext. 212,3,393720.79,140179.36,Exact,221620,38.92947171,-77.07241787
-77.026901560658757,38.950641427022752,16,Colony House,"930 Farragut Street, NW",(202) 882-3881,4,397668.31,142526.41,Exact,285470,38.95063396,-77.02689927
-77.022757066550653,38.938929734453311,17,First Baptist Senior Center,"715 Randolph Street, NW",(202) 723-4313,4,398027.24,141226.21,Exact,249660,38.93892227,-77.02275477
-77.031093104136175,38.970276948866029,18,Fort Stevens Recreation Center,"1327 Van Buren Street, NW",(202) 576-6916,4,397305.72,144706.25,Exact,290152,38.97026948,-77.03109081
-77.037583559938355,38.949106533182054,19,Genevieve Johnson Day Care,"4817 Blagden Avenue, NW",(202) 723-8537,4,396742.3,142356.35,Exact,258753,38.94909907,-77.03758126
-77.017124816738942,38.956389103153825,20,Hattie Holmes Senior Wellness Center,"324 Kennedy Street, NW",(202) 291-6170,4,398515.9,143164.25,Exact,307575,38.95638164,-77.01712252
-77.008236286464523,38.967786951038242,21,Lamond Recreation Center,"20 Tuckerman Street, NE",(202) 576-9541,4,399286.43,144429.41,Exact,296166,38.96777948,-77.008234
-77.031505919216855,38.961504515847686,22,Vida Brightwood,"1330 Missouri Ave, NW",(202) 483-5800,4,397269.61,143732.44,Exact,257772,38.96149705,-77.03150362
-77.024650538239939,38.94006815992271,23,Zion Hill Baptist Church,4007 Georgia Ave NW,(202) 722-1580,4,0,0,Corrected,,,
-76.966347406483422,38.934297650950093,24,Blind and Visually Impaired Senior Center,"2900 Newton Street, NE",(202) 529-8701,5,402917.95,140712.3,Exact,287312,38.93429019,-76.96634513
-76.984334189308655,38.900565152942988,25,Delta Towers,"1400 Florida Avenue, NE",(202) 398-1303,5,401359.1,136967.29,Exact,65280,38.9005577,-76.98433191
-76.996739769091818,38.923486889428553,26,Edgewood Terrace #1,"635 Edgewood Street, NE",(202) 529-0310,5,400282.91,139511.68,Exact,289573,38.92347943,-76.99673749
-76.960821253316098,38.927985067972507,27,Fort Lincoln I,"3400 Banneker Road, NE",(202) 635-2392,5,403397.38,140011.74,Exact,313871,38.92787458,-76.96081604
-76.960237830567962,38.92836718381588,28,Fort Lincoln II,"3001 Bladensburg Road, NE",(202) 529-7730,5,403447.95,140054.18,Exact,287351,38.92835972,-76.96023556
-76.956972632728721,38.921355662403769,29,Fort Lincoln III,"3298 Fort Lincoln Drive, NE",(202) 269-4530,5,403731.44,139275.97,Exact,151262,38.92134787,-76.95697036
-76.971386961129923,38.9262453833474,30,Green Valley Apartments,"2412 Franklin Street, NE",(202) 635-0286,5,402481.29,139818.28,Exact,287033,38.92623792,-76.97138468
-76.989354949870844,38.921687668228316,31,Israel Baptist Church,"1251 Saratoga Avenue, NE",(202) 269-0288,5,400923.31,139312,Exact,69666,38.92168021,-76.98935267
-77.015889861368578,38.91032954466236,32,Kibar-Halal,"1519 4th Street, NW",(202) 483-8832,5,398622.05,138051.22,Exact,237695,38.91032209,-77.01588757
-76.976721633782546,38.924134206862433,33,Model Cities Senior Wellness Center,"1901 Evarts Street, NE",(202) 635-1900,5,402018.77,139583.79,Exact,301587,38.92412675,-76.97671936
-76.95927086366936,38.928873298255439,34,Fort Lincoln IV - Vicksburg,"3005 Bladensburg Road, NE",(202) 529-7731,5,403531.77,140110.4,Exact,287362,38.92886584,-76.95926859
-77.008667452381673,38.954075542112442,35,North Capitol at Plymouth,"5233 North Capitol Street, NE",(202) 541-1222,5,399248.92,142907.32,Exact,298101,38.95406808,-77.00866516
-77.021580152099446,38.912090844063414,36,Asbury Dwelling,"1616 Marion Street, NW",(202) 745-7434,6,398128.57,138246.84,Exact,279266,38.91208339,-77.02157786
-76.999198660004936,38.878801691848864,37,Arthur Capper Senior Center,"900 5th Street, SE",(202) 546-1024,6,400069.73,134551.26,Exact,302625,38.87879424,-76.99919638
-77.013260307224272,38.875939784839723,38,Greenleaf Senior Building,"1200 Delaware Avenue, SW",(202) 554-3100,6,398849.56,134233.65,Exact,72281,38.87593234,-77.01325802
-76.99917913773173,38.9028463055378,39,Hayes Senior Wellness Center,"500 K Street, NE",(202) 727-0357,6,400071.4,137220.4,Exact,300865,38.90283885,-76.99917685
-77.009489517617922,38.905127558713772,40,Sibley Plaza,"1140 North Capitol Street, NW",(202) 408-4700,6,399177.1,137473.68,Exact,285576,38.9051201,-77.00948723
-76.93215784256401,38.908452418628208,41,Deanwood Recreation Center,"1350 49th Street, NE",(202) 671-3077,7,405884.39,137844.91,Exact,307551,38.90844496,-76.93215558
-76.948724408497583,38.903527259112238,42,Mayfair Mansions Community Center,"3744 1/2 Hayes Street, NE",(202) 534-4880,7,404447.82,137297.24,Exact,307816,38.9035198,-76.94872214
-76.956515337067557,38.885719159667509,43,Phillip T. Johnson Senior Center,"3440 Minnesota Avenue, SE",(202) 584-4431,7,403772.98,135320.05,Exact,34531,38.88571171,-76.95651307
-76.964118387773269,38.860510735129118,44,Washington Senior Wellness Center Weekend Nutrition Program,"3001 Alabama Avenue, SE",(202) 581-9355,7,403114.43,132521.44,Exact,289473,38.86050329,-76.96411612
-76.994984428333552,38.858675178956688,45,"Claiborne House, Matthews Memorial Church","2616 Martin Luther King Jr. Avenue, SE",(202) 610-0961,8,400435.52,132317.08,Exact,278192,38.85866773,-76.99498215
-77.003735308180353,38.839911820393304,46,Congress Heights Senior Wellness Center,"3500 Martin Luther King Jr. Avenue, SE",(202) 563-7225,8,399675.91,130234.21,Exact,303598,38.83990438,-77.00373303
-76.989969147221927,38.830532652550325,47,DuPont Park Seventh Day Adventist Apartments,"896 Southern Avenue, SE",(202) 562-1365,8,400871.16,129193.1,Exact,81597,38.83052488,-76.98996687
-77.003735308180353,38.839911820393304,48,Knox Hill Apartments,"3500 Martin Luther King Jr. Avenue, SE",(202) 563-7225,8,399675.91,130234.21,Exact,303598,38.83990438,-77.00373303
-76.979787556351695,38.865543268146176,49,Some’s Senior Center (Kuehner Place),"1667 Good Hope Road, SE",(202) 797-8806 Ext. 1301 or Ext. 1305,8,401754.35,133079.67,Exact,58175,38.86553582,-76.97978528
